mode,c_target,t,trials,c_realized_mean,f1_mean,aupr_mean,f1_theory_mar,aupr_theory_mar,f1_delta_mean,aupr_delta_mean
mar,0.1,100,500,0.1004,0.18096507685258276,0.13852155557719573,0.18181818181818182,0.14668639765800662,-0.0008531049655990557,-0.008164842080810893
mar,0.1,500,500,0.100368,0.1821522092674338,0.10968962955498951,0.18181818181818182,0.11222708217398271,0.0003340274492520041,-0.002537452618993206
mar,0.1,2000,500,0.100205,0.1820855999550845,0.10285094550169768,0.18181818181818182,0.10368026564662464,0.00026741813690266066,-0.0008293201449269598
mar,0.2,100,500,0.19974,0.33112819641391156,0.2358009377354636,0.33333333333333337,0.24149902014045035,-0.002205136919421842,-0.005698082404986707
mar,0.2,500,500,0.201484,0.33499712316395064,0.20900431699492927,0.33333333333333337,0.21086851748798463,0.0016637898306172613,-0.0018642004930553568
mar,0.2,2000,500,0.199487,0.33253343259352347,0.20292105238740712,0.33333333333333337,0.20327134724144413,-0.0007999007398099159,-0.00035029485403700986
mar,0.4,100,500,0.39904,0.5686699659483996,0.42480550608868495,0.5714285714285715,0.43112426510533775,-0.0027586054801719017,-0.006318759016652797
mar,0.4,500,500,0.40072,0.5718039439266822,0.40709233061399647,0.5714285714285715,0.4081513881159885,0.00037537249811076966,-0.0010590575019920583
mar,0.4,2000,500,0.40075,0.5721004462427952,0.402762177644235,0.5714285714285715,0.40245351043108313,0.000671874814223712,0.0003086672131518695
mar,0.7,100,500,0.70168,0.8239342785051664,0.7144775633407784,0.8235294117647058,0.7155621325526689,0.00040486674046059343,-0.0010845692118904792
mar,0.7,500,500,0.69964,0.8230963443780596,0.7034411028900105,0.8235294117647058,0.7040756940579942,-0.0004330673866462627,-0.00063459116798368
mar,0.7,2000,500,0.700386,0.823753256730995,0.7017074612277262,0.8235294117647058,0.7012267552155415,0.00022384496628913376,0.0004807060121847275
optimistic,0.1,100,500,0.10010000000000001,0.18070099414030974,0.17482697077430503,0.18181818181818182,0.14668639765800662,-0.001117187677872071,0.02814057311629842
optimistic,0.1,500,500,0.099152,0.1801368912435312,0.13846764966397893,0.18181818181818182,0.11222708217398271,-0.0016812905746506474,0.026240567489996237
optimistic,0.1,2000,500,0.100275,0.1822016348405716,0.13041342223188332,0.18181818181818182,0.10368026564662464,0.0003834530223898004,0.026733156585258686
optimistic,0.2,100,500,0.20124,0.3332278732314667,0.2960769223259756,0.33333333333333337,0.24149902014045035,-0.00010546010186671401,0.05457790218552528
optimistic,0.2,500,500,0.20048,0.33365152431983497,0.26387383861887664,0.33333333333333337,0.21086851748798463,0.0003181909865015631,0.05300532113089197
optimistic,0.2,2000,500,0.200546,0.33398984951315075,0.2566956701110569,0.33333333333333337,0.20327134724144413,0.0006565161798174119,0.053424322869612746
optimistic,0.4,100,500,0.39926,0.5691504575929666,0.529139828315229,0.5714285714285715,0.43112426510533775,-0.002278113835605014,0.09801556320989127
optimistic,0.4,500,500,0.39923200000000003,0.5703350650536,0.5105601746393725,0.5714285714285715,0.4081513881159885,-0.001093506374971483,0.10240878652338403
optimistic,0.4,2000,500,0.399522,0.5708611892680551,0.5067029055527871,0.5714285714285715,0.40245351043108313,-0.000567382160516376,0.10424939512170399
optimistic,0.7,100,500,0.7002200000000001,0.8229441693455123,0.886701011701241,0.8235294117647058,0.7155621325526689,-0.0005852424191935404,0.1711388791485722
optimistic,0.7,500,500,0.700016,0.823401005662286,0.8832265282673296,0.8235294117647058,0.7040756940579942,-0.0001284061024197871,0.1791508342093354
optimistic,0.7,2000,500,0.699909,0.8234326272069032,0.8816956356580214,0.8235294117647058,0.7012267552155415,-9.678455780256212e-05,0.18046888044248005
pessimistic,0.1,100,500,0.09884,0.1784362439667431,0.10856638344876385,0.18181818181818182,0.14668639765800662,-0.0033819378514387387,-0.038120014209242783
pessimistic,0.1,500,500,0.09919599999999999,0.18021827950222974,0.0864635321818029,0.18181818181818182,0.11222708217398271,-0.0015999023159520924,-0.025763549992179804
pessimistic,0.1,2000,500,0.09997400000000001,0.18170626822694147,0.08283130659621096,0.18181818181818182,0.10368026564662464,-0.00011191359124035622,-0.02084895905041367
pessimistic,0.2,100,500,0.20138,0.3333708521411667,0.18720013133964017,0.33333333333333337,0.24149902014045035,3.751880783328543e-05,-0.05429888880081015
pessimistic,0.2,500,500,0.199296,0.33198202628706347,0.1669928730841308,0.33333333333333337,0.21086851748798463,-0.0013513070462698742,-0.043875644403853824
pessimistic,0.2,2000,500,0.20014,0.33343844323576766,0.16359347335022967,0.33333333333333337,0.20327134724144413,0.00010510990243424156,-0.03967787389121447
pessimistic,0.4,100,500,0.40276,0.5725622830270232,0.34398451063235985,0.5714285714285715,0.43112426510533775,0.0011337115984515996,-0.0871397544729779
pessimistic,0.4,500,500,0.398812,0.5698810286583178,0.3259852826314448,0.5714285714285715,0.4081513881159885,-0.0015475427702537298,-0.08216610548454376
pessimistic,0.4,2000,500,0.399643,0.5709791176624716,0.3237941414214989,0.5714285714285715,0.40245351043108313,-0.00044945376609988275,-0.07865936900958419
pessimistic,0.7,100,500,0.69732,0.8209340647120447,0.5765328027677863,0.8235294117647058,0.7155621325526689,-0.002595347052661209,-0.13902932978488258
pessimistic,0.7,500,500,0.699324,0.8229222696607873,0.5682927952923432,0.8235294117647058,0.7040756940579942,-0.0006071421039185543,-0.13578289876565092
pessimistic,0.7,2000,500,0.699784,0.8233441136940143,0.5658743632506054,0.8235294117647058,0.7012267552155415,-0.00018529807069154257,-0.1353523919649361
